Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","1999","1999","kt","15496.5038","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2000","2000","kt","15187.9607","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2001","2001","kt","16801.4414","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2002","2002","kt","16293.3346","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2003","2003","kt","16323.7742","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2004","2004","kt","16057.1877","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2005","2005","kt","15914.2316","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2006","2006","kt","16134.2329","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2007","2007","kt","17074.7243","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2008","2008","kt","19042.3707","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2009","2009","kt","18487.9545","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2010","2010","kt","19355.8419","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2011","2011","kt","18623.1974","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2012","2012","kt","19390.6783","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2013","2013","kt","19440.4824","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2014","2014","kt","20347.7617","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2015","2015","kt","20753.5804","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2016","2016","kt","17227.055","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2017","2017","kt","21907.2907","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2018","2018","kt","21916.4462","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2019","2019","kt","22455.4887","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2020","2020","kt","23038.1782","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2021","2021","kt","23038.1782","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6801","Petroleum products","2022","2022","kt","23038.1782","I","Imputed value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7225","Emissions (CH4)","6801","Petroleum products","1990","1990","kt","0.597","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7225","Emissions (CH4)","6801","Petroleum products","1991","1991","kt","0.619","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7225","Emissions (CH4)","6801","Petroleum products","1992","1992","kt","0.6423","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7225","Emissions (CH4)","6801","Petroleum products","1993","1993","kt","0.7096","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7225","Emissions (CH4)","6801","Petroleum products","1994","1994","kt","0.7656","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7225","Emissions (CH4)","6801","Petroleum products","1995","1995","kt","0.8364","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7225","Emissions (CH4)","6801","Petroleum products","1996","1996","kt","0.8638","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7225","Emissions (CH4)","6801","Petroleum products","1997","1997","kt","0.8937","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7225","Emissions (CH4)","6801","Petroleum products","1998","1998","kt","0.8432","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7225","Emissions (CH4)","6801","Petroleum products","1999","1999","kt","0.9082","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7225","Emissions (CH4)","6801","Petroleum products","2000","2000","kt","0.8998","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7225","Emissions (CH4)","6801","Petroleum products","2001","2001","kt","1.0079","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7225","Emissions (CH4)","6801","Petroleum products","2002","2002","kt","0.9619","E","Estimated value"
